,date,title,rating,body,model
10,1 March 2023,GREAT COOLING,4.0,Very best at this price range.Noise level and inbuilt material is very good.Water tank capacity is perfect.Cooling and air throw is superb.,New Model
11,16 March 2023,Water inlet is too small at back of the cooler,3.0,Air throw is powerful.. Water inlet is at back side & the place is too small.. Not very user friendly.. Can't put ice in it which is a drawback.. Hence 3 stars o/w it's easily a 4 star product,New Model
12,17 March 2023,It's okay,3.0,I was expecting more power but the speed of fan does not reach the limits I were expecting it's overall ok for single person but it made so much humid and suffocating,New Model
13,14 March 2023,Good but not long-lasting,3.0,"Good but not long lasting products,  it pump is jot working properly after 4 months. Every thing us plastic frame if you found little serious damage the entire cooler goes to scrape",New Model
14,18 March 2023,3,3.0,There is bad odour while in use,New Model
15,22 February 2023,बिना सोचे समझे ले सकते हो आप ये प्रॉडक्ट एकदम बढिया चीज है; पैसे वसूल कोई नाराजी नाही मिलेगी आपको,4.0,बस यही कहुंगा AWESOME 👌🏻,New Model
16,11 March 2023,Very nice,3.0,Nice,New Model
17,11 March 2023,Over All Performance is Good,3.0,"The media could not be loaded.
                



 Motor Noise is the only Problem. It takes few days to adjust with it",New Model
18,28 February 2023,Size is not good,3.0,Cooler is very small in size compared with money 6000 rupees,Old Model
19,2 March 2023,good cooler,3.0,nice cooling,New Model
20,23 January 2023,"Good , affordable, worthy",4.0,"Fan is powerful, gets the job done. Light weight, shifting is super easy. Value for money till the last cent.  All good experience.Only my personal recommendation cooling side pads can get better, gets little stinky.",New Model
21,23 February 2023,Ok product.,4.0,"Over all ok product. Plastic quality can be better, Height can be increased.Back cover not easy to open  for water filling.",New Model
22,23 March 2022,Budget air cooler,5.0,"The media could not be loaded.
                



 Bajaj PX 97 Torque New 36L Personal Air CoolerThis is my first ever air cooler purchase. I have purchased this for my weekend home so investing 35000 rupees on an air conditioner didn’t make sense. I bought this Bajaj air cooler after a lot of online research and watched many YouTube videos and read many user reviews on many e-commerce websites.I can now say after using this cooler that it’s the best you can get in this budget.1- the air throw is very good2- mine is the new 2022 model in this variant, the build quality in this particular one is very good. The speed and pump/swing knobs are of good quality3- water level can be measured easily and the drain plug provided is useful4- the castor wheels are very smooth and easy to move around with full water tank5- the sound on top speed is not much, my window AC is my other house makes more sound than this. When the pump is on trickling of water can be heard6- honeycomb pads in the three sides are thick and it is easy to unscrew the three grills for cleaning purposes as the company has provided thumb screws7- the cooling is very good. Cools my 10x15 room in the afternoon very well when the outside temperature is 42 degrees8- there is smell when you turn it on the first time. The smell is because of the plastic and the fan motor inside. My recommendation is to keep the cooler running for 30-40 mins when you first turn it on. The smell will eventually go away and keep the cooler in a ventilated area for the first time when you switch onOverall I am happy and satisfied with my purchase and recommend other too if they plan to buy a budget friendly yet powerful air cooler.",New Model
23,27 May 2022,Stopped working after just a month. Pathetic Bajaj customer service,3.0,"After checking the reviews of all the popular coolers, decided to go for this one as it seemed the best at reasonable price. And supposedly Indian brand and product.Bad decision - just suddenly stopped working after a month (I don't know if they are sending sub standard quality products for Amazon orders or they are all of this quality or it's just our bad luck).Called Bajaj customer care, the technician came after a day (till then their support was good), said motor is gone and will be replaced as it's within the warranty period. And that it would take 2-3 days due the new motor to come.It's more than 2 weeks now, no sign of the person, no calls by him either nor follow up by the CS team even the next day after the technician's visit or even to update.I called them 3 days ago, they again said someone will call, and the standard response Sorry for the inconvenience caused... but noone has called or visited.They CS app just says on my service ticket that ""Request is pending due to spare parts availability"". That's it. Nothing about when it's expected or anything at all.No exchange also possible since it's more than a month now.Very sad and disappointed at this apathetic attitude and behaviour of the support staff, and product quality.----Update:The technician called, saying the motor has reached them. New motor has been installed and hopefully (touch wood) shouldn't have trouble again. If it does, will update here and probably never ever will buy another Bajaj product again.Also please note, these are all Chinese products / spare parts assembled here in India by all the major brands, not just Bajaj.",New Model
24,21 March 2023,Good product in this budget,5.0,"Good cooler in this budget, don't go with negative reviews. People who has given negative review they want AC function in cooler, product is good , cooler sound is normal as usual than other cooler, cooling is good. Only one issue water inlet space is very small.",New Model
25,25 March 2023,Good cooler doing its job,5.0,Good cooler with value for money and doing its job.,New Model
26,24 March 2023,Perfect for personal use,5.0,Suitable for small rooms and for personal use,New Model
27,27 December 2022,Paisa vasool,4.0,Same as expected,Old Model
28,21 March 2023,Excellent product. Chhota packet badaa dhamaka. 👍👍👍👍,5.0,Excellent product. Chhota packet badaa dhamaka. 👍👍👍👍,New Model
29,30 November 2022,Functions well,4.0,"Only downside were the castors, which come off repeatedly on even slightly picking up the product. Fixed it with plumbing tape to help them to fit more snugly into their grooves.The cooler functions quite well though.",New Model
30,14 March 2023,"too small, comfort for surface sleeping not for bed.",5.0,size chhota hone ke karan hawa bed par soye hue ko nahin mil payega.. iske use ke liye surface par sona hoga...,New Model
31,6 April 2021,great cooler at this price point,4.0,"pros :1. well suited for a small room of 12x12. i think even it can perform good in bigger rooms as well.2. air throw is good and sufficient.. u need to place the cooler in the corner where there is an open window or door and sit/sleep in opposite corner and u'll get a feeling of cool breeze even without adding water.. if water is added, it'll give great cooling effect.. can manage a hot summer afternoon with this..3. noise level is comparitively lower when compared to an air cooler with blower technology.. i always run it at the lowest speed and this is quite sufficient..4. weight is also managable and can easily be moved around as per convenience..5. honeycomb pads are of good quality and easy to maintain.. my previous cooler had honeycomb n still its running fine even after 8 years..cons :1. build quality is not up to the mark.. as such seen, it looks fine.. but once u lift it up or remove the panels, it feels flimsy.. in case it falls or takes a hit, u may need a service..2. water inlet space is at the back side and very narrow.. even if u pour water carefully, it spills.. also there is no ice chamber.. need to fill chilled water if u need coolest air flow.. but for me normal water suffice..3. the swing function doest work as expected.. it has very less travel and mostly it'll concentrate the air flow in a limited space.. the up and down action is also stiff..note : don't sit directly in front of cooler and enjoy the breeze, u'll definitely catch a cold if exposed for a prolonged time.. keep it at a distance and turn on the swing mode so that the air gets distributed and doesn't direct at u for a continous period.. rest use it appropriatley and sensibly and it'll not disappoint..",Old Model
32,10 March 2023,I feel chilled,5.0,Cooling is good enough. But cooling depends up on how cold your water is and how good is your ventilation in the room. Overall a good buy at this price range.,New Model
33,14 March 2023,Excellent,5.0,Works well for smaller room with little ventilation near the cooler,Old Model
34,20 March 2023,"Very nice product. Low noise level, great air flow and great product in this range.",5.0,,New Model
35,25 March 2022,Decent machine,3.0,"Machine got delivered within two days. Following observations made during one day of operation.1. Noise Level - It is better than expected. Low noise and doesn't feel uncomfortable.2. Water tank level glass - Water tank has much more capacity than indicted in front panel, I expect the vendor to show full to nil level. If you will fill wrt front level indicator, high probability that it will get emptied before morning. And pump will get damaged3. Provision for water filling feels very uncomfortable for filling 35 ltrs of water.4. No ice box provision like other coolers - Although I knew this before ordering, I think it should be included at this price range. I had no other option therefore ordered this machine.5. Good for one bed - It is okay only for 70 to 80 sq. ft area. Anything larger than that mostly will be unsatisfied.6. Doesn't look very strong - All the plastic looks very cheap. And all the knobs are very weak.7. Overall it's not that great for 6.5k. 4k would be a better price.",New Model
36,12 March 2023,Nice product 👍,5.0,Nice product 😊👍 very use to the summer time,New Model
37,17 March 2023,Super,5.0,Like bajaj,New Model
38,17 March 2023,Good,5.0,Good,New Model
39,17 March 2023,you should avoid,2.0,"will not suggest , after 2 month of usage started leaking also one stand ball get damaged while moving",New Model
40,2 April 2022,Good cooler for hot and humid places,4.0,"Had my doubts when buying but it really impressed me.1. Cooling is really good when using in a 100 sq ft bedroom. It cools the entire room.2. It doesn’t cool the entire 170 sqft living room. However, the cool air it throws rescues from the heat. You just have to be in the coverage area.3. The initial unpleasant odour goes off after a few hrs of use.4. Noise level is not that high. More or less similar to the ceiling fan. So isn’t a problem.5. The size is compact. Can be easily dragged anywhere. Without water you can easily lift it.For any one it may help, I’m using it in Chennai in peak summer. Just keep the windows and doors open when using the cooler to escape the humidity.",New Model
41,15 March 2023,Good,5.0,Good,New Model
42,18 March 2023,Good product,5.0,"The media could not be loaded.
                



 Nice product .. value for money .... sufficient for small family",New Model
43,28 July 2022,"Nice But it is a small size, personal cooler.",4.0,"It's a very nice quality cooler in all aspect but it is a small size cooler. It is a good for a single person. It doesn't cover a very large area because of it's low height  and motor. Although sweep angle is quite good but motor isn't that powerful to give air at 10 feet distance which has been mentioned in the description.To conclude, I would say It can be used in bedroom but not satisfactory for Living Room.It doesn't make much noise so in that aspect it perform satisfactorily.",New Model
44,1 December 2022,Average,3.0,Average cooler.sufficient for 10×12 feet room,Old Model
45,22 August 2022,Best Cooler,4.0,"This summer i was cooled by this cooler, nearly about 03 months.Best product from Bajaj.Noise level is more but cooling is better.Water tank is about 36L so once you filled it will long lasts upto 10 to 11 hours to become empty.Pads quality are also good.Its body made up of fully by plastic.Easily movable to any area by its wheels.Power consumption said by company is 100W.Overall best n budget cooler.",New Model
46,16 March 2023,Too small,2.0,"It's too small.... , Good for single person",New Model
47,19 March 2023,Cooler is leak for bottom side after 10days,2.0,Itz leak cooler after 10days,New Model
48,18 November 2022,Too small,3.0,Better to go far bigger size coolers,New Model
49,6 March 2023,Perfect,5.0,Perfect,New Model
50,4 March 2023,Best cooler in budget for personal use. Good for a 12'x12' room only,5.0,"The media could not be loaded.
                



 Best cooler in budget for personal use. Good for a 12'x12' room only",New Model
51,11 April 2022,Average product,4.0,"Looking very good. Cooling is average. If you pour ice water then you get better cooling. The only problem is have to open any side of the cooler to fill water easily, which is a small task . Because you need good nails to get it removed. There is a small opening at back side through which you can pour water using mug or plastic bottle, still its a tedious process.In the first two days a foul smell of plastic was there, but it gone later. Not much noise is there.Overall it gives you a relaxation from the humidity, but don't expect the cooling as like AC",New Model
52,11 March 2023,PLEASE DO NOT BUY,1.0,"Most things about this cooler were bad-the control dials are made of cheap plastic and broke off in less than a month-in less than a week, a wheel from the bottom of the cooler broke off and never stayed on properly, no matter how much I tried to fix it.-always has a bad smell when using no matter how many times it’s cleaned.-having to pour water in constantly is so frustratingThe only pro of the cooler is that it mildly cools and provides relief on hot days.",New Model
53,11 March 2023,Not working within one year,2.0,Within one year defrct,New Model
54,24 May 2022,Good Product for Daily use,5.0,"I buy this product in April-22, and i am putting my review after using one month.1) noice level is little bit high compared to table fan and ceiling fan but it is manageable.2) while using 1st time need to wash it because it smells bad.3) need to change the water within 3 days because their is a chance to have eggs of mosquitoes in storage tank. (I had seen this in my cooler tank)4) check the buttons properly to have a deep clean. Don't show your muscles 😉 while handling it.5) if your room is closed and you want to use cooler - you can use both fan+water shower. Use water shower only for half of entire use. If possible keep your door/windows open for 1hour to have good cooling.6) it requires circulating air for better cooling7) if voltage issue is their, you will fill like  you are in a flight because it sounds very loud.8) it consumes almost same electricity which a common table fan uses.Overall good product and i am satisfied with its performance and quality. Amazon delivery boys - call customer before 30min from delivery.",New Model
55,10 May 2022,Good portable cooler. Best for single person!,4.0,"Writing this review after 15 days of use.PROS:Good portable cooler.Easy to clean.Not much noisy.Best for single person staying in a single room.Can run upto 9-10hrs with great water capacity.There is no need to drain the water with a pipe, a hole is given at the bottom, makes it easy.CONS:Honeycomb sides are not that much good.Only for single person.Water in the cooler gets dirty very quickly due to honeycomb.The side opening of the cooler is very tight, won't open easily.That's it! Hope it helps.",Old Model
56,1 September 2022,My review on cooler,3.0,"The cooler did an amazing job for the first 2-3 months. Cooling effect was very well felt. Idk what happened after 4 months, it was just the air being blown and less of cooling effect.Portability is a plus and feeding water is a mess since the inlet is too small.",New Model
57,31 March 2018,Its an air cooler and its perfect.,5.0,"First things first. This is Air Cooler and not Air Conditioner. Therefore, one should keep expectations accordingly.This works as good as any air cooler should work.1. Any air cooler works on the principle of blowing the air through a curtain of water, due to which the air is cooled.2. Since the air is passed though the curtain of water (pads which are being showered with water consistently), the air being blown carries a good amount of water in it. Therefore there needs to be a cross ventilation in room to let the air out. If not, then the room will be filled with water laden air and thus humidity will increase.3. Cross ventilation helps in achieving proper cooling effect of any air cooler. And, the above is the reason for Air Coolers not being efficient in areas near to sea-shore.4. The fan-type air cooler makes less noise than blower-type one. Also, the air deflection larger in comparison to blower-type.5. Clean the water tank on weekly basis.6. If your water supply is from bore-well or if you are living in hard water area, use vinegar to clean the water tank. Put vinegar in water till the pump is submerged and then just keep the pump running for 15-20 minutes. This will wash off the salt sediments from the cooling pads.7. The height of the cooler is perfect as expected. Well, the size of the cooler is well mentioned under the product description. Before buying, one can always get a proper idea of the size of the cooler. If not, then rush to nearest store and see with your own eyes for better judgement.8. 36 liters of water tank is more than sufficient. Its always better to fill the cooler daily with fresh water. Some people are complaining about water inlet being very small. It is not small. You can either put water through any bottle or you can put a pipe to fill water, both are convenient. I use big mouthed bottle.9. Only thing is that a mosquito net could have been accommodated on the panel of cooling pads. It's not a big deal though, because cooler is going to be used indoor.10. I have Symphony 8T cooler and this Bajaj Platini PX97, and this cooler makes less, much less noise.The cooler came in perfect condition and there was no damage. Even if one receives a cooler with damage, it can always be exchanged for new one under Amazon's exchange policy. Overall, I am satisfied with this cooler.",Old Model
58,11 April 2022,Best Best Best...Go for it,5.0,Sab se pahele to mai review likhne wala nahi tha lekin ek mahine use karne k bad likhne aane pada..maine 1 week tak YouTube online sab jagah research karne k bad ye sab se zyada bikne wale cooler ko finalize kia aur 1 mahine bad iske saamne so kar review likh raha hu aur mere hisab se ye Best cooler hai market mei (I am talking about New model i.e 97X Torque NEW  maine 6200/ mei lia ek number cooler hai ab aap sochoge k AC jaisa hai to aisa nahi but kaafi thandi haw hai ek cchhotasa room aur mera 2 bachche aur wife ke chhote se family k ek dam sufficient hai even 3 am k bad blanket lena padta hai but iske lie aapke room mei achha ventilation hona must hai warna aap 20000/ ka bhi cooler lelo koi matlab nahi Thanks Amazone for ur quick and great Product Thanks Bajaj for this Amazing cooler. Mai bhul gaya k ye sirf 95 to 100w tak hi electricity consume karta hai means equivalent to ceiling fan to cooler chalao na in same consumption aur at present I am using it in 40C temperature and still it works just WOW.Now I m Chilled Bye.,New Model
59,7 May 2022,"Small & easy to move, less noisy",3.0,"Noise of fan is very less compared to other coolers. The cooler sent to me did not work ie it's Pump was defective, so No cooling at all& it's opening knobs of honeycomb pads were stuck , hard jammed. All of the knobs were non functional. The knobs are so small - only good for a five year old hands.It broke my one nail plus gave me thumb pain, t's so hard to lever. This was not workable for our use so had to sent it back. Otherwise it's a nice looking little cooler.",New Model
60,12 May 2022,"Cheap plastic quality, Broken wheel within 1 day",3.0,The air and cooling is very nice. Noise range is also acceptable. And this is where the good things about this cooler comes to end.Now for bad issues.1. The build quality looks very cheap. I was scared that i got some cheap chinese item.2. Difficult to open & close the honey comb pads.3. Water filling outlet is very small.4. Castor wheel is broken and got removed within a day.(ordered a replacement for this. it is small issue but very inconvenient for the price that you pay),New Model
61,13 November 2022,Ok,3.0,Ok,New Model
62,8 May 2021,Value for money no damage best delivery,4.0,Real Review from a genuine customerDont compare with ACBest personal air Cooler due to pros and cons.ProsDecreases 3-5 degrees from outside temperaturecooling is same as all other cooler worksGood quality buildAll basic features with gud swingGood air throw with low noiseMovableHigh capacity 36 liter in personal air coolers (2 day usage)Removable side door for cleaning and draining old waterBest for office personal usageRun on inverterConsNo remoteShort in height difficult for people who sleep in bedWill not show much effect in humid areas such as costal areas and river side areas.Water input is only in backside no ice chamberFor best cooling effectFirst use only pump don't on air flow for 5 minutes. Means water running through cooling pad  before starting air throw.Give good space backside the cooler. Best you use near door or window and it should be open.Use cold water or ice or dip a mud clay pot.Use medium or low speed only for better cooling as the air passes slowly from water.Keep the cooler near to you maximum 2 meters,Old Model
63,17 May 2022,Nice to have but not the best,4.0,Works fine so far after 2 months of useGood value for moneyWoks well in a 10x12 feet roomButMake sure it won’t be useful in high humidity location or weatherThere is no ice pocket or chamber. It’s difficult to put ice in the water tankThe wheels not so good. For my case 2 of them were coming out. I fixed them with cello tapeThe height is less for sleeping on a bed. Work well if you are on chair,New Model
64,29 May 2020,Avg product overall,3.0,"Been using this cooler for about a week. This is my 2nd cooler so thought of buying a small one. Currently its 40-42 deg outside and within that environment it does OK cooling. Though, I don't expect the cooling at this price point and size which a desert cooler does. Also, I have a concern with the knobs longevity, though I believe that will be present with all such coolers having knobs to adjust cooling setting. As advised it is a personal cooler where only 1 person can use it (2 person barely if you restrict your body movement to have the cool wind from the cooler).Pros - Small in size, easily portable, honeycomb meshCons - 1. Build quality - Plastic body, some of the side panels are not properly plugged and have a tendency to come out while moving it while fully loaded water.2. Position of wire is at a side of the cooler which quite reduces the way you position your cooler. If it was on the back side of the cooler, then it would have been better.3. By far the most irritating thing is the size of water inlet, which is a fixed position and quite small. They could have made it retractable. Its quite frustrating if you use bucket to fill the water. I advise to use a small hose to fill the water.Overall avg cooler I would say.",Old Model
65,1 November 2022,Bs,4.0,Best,New Model
66,23 April 2022,Product is superb.,4.0,"The media could not be loaded.
                



 Bajaj px 97 new 36 LBuilt plastic material superbHonypad -3 greatPower consumption 100 wts only3 speed mode is good workingAirflow 15*12 room is good.Run about 9-12 hrs if Full water tank and it's depends on your  uses.I run at night 9:40 Pm and runs continue till morning 7:30 AmAirflow and Cooling averageHight about 3 feet overallI'm fully satisfied because my bed on Farsh so great experience.Thank you AmazonThank you Bajaj ⚡",New Model
67,14 September 2022,Bajaj cooler,4.0,The cooler is so so good quality .I so like the cooler .But the noise is so high .Over all good.Thank you.,Old Model
68,25 March 2023,Working sttoped in one season.,1.0,After one season sttoped working after service request execute says product is out of warranty. Product get delivered after 26 March 2022.  Service request date is 25 March 2023.Don't buy bakwas service and product provided by Bajaj electricals.,New Model
69,3 September 2022,Poor built quality and normal performance,3.0,"Worst customer support, my cooler main fan motor defect with in three months Bajaj customer service not responding lost 20 days motor under one year warranty, poor built quality & normal performance",New Model
70,23 April 2021,"""Honest Review"" ( Must read before buying )",4.0,"""Honest Review""I am giving this review after 20 days of use .. This is an amazing cooler in this price range...Pros :-1.) Can easily cool a small room2.) Can make you feel like an noisy AC if the surrounding temperature is around 37-38°C3.) Good for summers4.) Must buy product5.) Very less price as compared to those of other companies like symphony and all but quality is same as that of other companies...Cons :-1.) NoisySo overall this is an excellent item in this price range..Except being noisy their are no cons. of it.. It's quite obvious that all coolers make some noise unlike ACs so , in fact , this is not a cons. either..So I strongly recommend those who are thinking to buy a new cooler and have many questions in mind ( like Should we buy this ? , Will the quality be good in low price range ? , Will it be worth buying ? Etc. Etc. ) that you should buy this cooler without a second thought .. This product is worth buying....",Old Model
71,5 March 2023,Number of Reviews dekh k kharida. But mehnga pad gaya.,1.0,"The media could not be loaded.
                



 Bahut chota h sirf 3 HANDSPAN KA H PURA COOLER(height wise) or 1.5 HANDSPAN LENGTH WISE. Air flow ka face sirf 1 handspan jitna h. Shop pe shopkeeper k saamne jo cooler hota h utna hi h. Market me 2000 tak ka mil jata h. PAISA MAT WASTE KARO. MAT KHARIDO. Paise jayenge or kaam b n aayega. Water TANK B 25L KA H, 36L KA N.SEE PICS TO GET CLEARITY. Or cooler me se aawaz b aa rhi h, Like some malfunction.MJHE MERA MEHNAT KA PAISA WAPIS CHAIYE OR YE N DE RAHE, AISA GALAT SAAMAN PAKDA K HUME.I Don't Think My Experience With Amazon Will B Same, Ever Again.",New Model
72,29 September 2022,A little Overprice bought it for 6100. But it does the job done for small rooms,4.0,Over all decent product.A little over priced. Only buy this for small room.,New Model
73,13 May 2021,Best budget cooler,4.0,"Generally I do a lot of research before buying something and this is what is finalized and I am quite happy with this cooler.This review is after using this product for a month or so.Pros:1. Budget friendly2. Good capacity of water.3. Low power consumption4. Good cooling for single room.5. 3 side air inlet with honeycomb mesh.Cons :1. Plastic material could be better, but given its cost, its acceptable.2. Knobs for honeycomb filters are quite bad, they dont rotate easily and are too small to apply much force by bare hands. You might have to use pliers at times. That could be better.3. No ice tray.4. Water inlet if very small and inconvenient. So either you have to use pipe or small jug to slowly pour the water.5. Sometimes water distribution on honeycomb is not proper. Some areas stay dry even when cooler has been running for more than an hour.Overall a good buy for couples/bachelors/single room.",Old Model
74,8 April 2022,"Cooling is good, Provided you have proper ventilation.",4.0,Cooling is good better than coolers which come with blowers in the same price range. What I have observed is if you space where the coolers walls are not blocked and has proper space for air intake than the cooling is good and Fans cool much better than blowers. The porblem I faced was the wheels are not of good quality if you try to move it when even half filled the wheels come off. So try to move it and place it than fill water.,New Model
75,12 June 2022,Nice cooler,4.0,"The wheels start coming off when you push the cooler around with water in it. They are not tightly held into the sockets and come off and then you have to reinsert them into the sockets while balancing the cooler. Other than that, cooling is great, fan has good throw, the automatic air re-direction is great. Water pump spreads water evenly on the cellulose honeycomb pads.",New Model
76,27 March 2022,Affordable and Adequate,4.0,"The media could not be loaded.
                



 I've used it for a couple of hours now. The noise level isn't as bad as I thought it would be and is easy to get used to. The fan is cool even on the first speed. It took a while for me to fill the water tank, so I suggest buying a funnel or pipe if you don't have one. There is a weird smell coming from the cooling pads, which I hope will go after few days. Will use it for three months and update if there are any issues.",New Model
77,29 April 2022,Great cooling bad wheels,3.0,"Nice cooling, Infact very nice cooling and very good for a room. We had bought one 2 yrs back and this is the new version of it. But in just 2 weeks and it's wheel cones off and not getting fixed now. The older version was sturdy.need some help in replacing the wheel. Full stars for cooling and zero for mobilityThe  wheels came off in just 2 weeks. So it's difficult to move it.",New Model
78,1 July 2022,Wheels come out while moving it,3.0,The cooler is good overall just 1 problem - the wheels keep on coming out while movit it from one room to another.  The company needs to work on it as its really a huge task everytime lifting the heavy cooler filled with 36 liter water and putting back the wheel.,New Model
79,21 May 2022,Super cool.......Coolar,5.0,"After One day used  ,I am writing this review.....This is just my honest opinion..pros:1) easily  to move any room2) Cooling is mind  blowing.....but need proper air ventilation3) enough for 2 adult ...and also i think also enough for 2 adult with small kids...4) we can feel Cool air in our room but not like A.C type cooling5) Air throws are good enough6) As per technical data,this  cooler power Consumption is like  Fan consumption....so no more power uses ..... Cons:1) There is no space for Ice cube.2) u can not easily fill up water in cooler u need water pipe....3) this just for small room or kind of small familyConclusion:  I liked this cooler very much due to his cooling capacity.",New Model
80,1 August 2022,Poor build quality,3.0,2 out of 4 wheels broke literally on day 2 mfs attached them with glue 👏👏👏Cooling is alright but god i hate the smellNoise 5/5 loud afI'm i happy hell no 🦍,New Model
81,17 March 2023,Not working properly,1.0,"I ordered this cooler 2 times and both time it’s damaged, and Amazon customer care also didn’t handle this issue efficiently. I am still waiting for my refund and it’s been more than 15 days",New Model
82,4 April 2022,Good product but wire burnt in a year,3.0,"Product delivered after 31 March 2021, connecting wire burnt on 2 April 2022.One would expect a product costing +6000Rs to last more than a year definitely..Product is light, serves the purpose if windows are kept open so that it doesn’t get moist inside the room. Easy to operate, wheels are okayish.My summer relief last year, summer pain this year!If the wire wouldn’t burn exactly in a year of usage, would have given 4 stars",Old Model
83,13 August 2022,Not good for room set 12x10,3.0,This is very small and hardly able to cool the 10x12 room in 4 hours. It is not better for home uses in delhi ncr region summer time.,New Model
84,15 June 2022,Good personal Air cooler.,3.0,Pros:Throws Air decent speed and range.Controls are good.Honeycomb structure does good job.Cons:Good for area of 6ft x 6 ft.Controls can have good indicators.Needs cool water to chill the room otherwise it's just a fan spitting water droplets.Final words: at Rs. 5999 it's as good as it gets.,New Model
85,25 September 2022,Good only if place outside the room.,3.0,Only for 2 person,New Model
